Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating
Call_1,Agent_1,2023-07-30 10:23:09,5:59,General Inquiry,Y,Yes,95,0:07:31,1.200904045855895
Call_2,Agent_4,2023-10-10 11:09:56,7:25,Feedback,Y,No,91,0:05:23,1.291607341471614
Call_3,Agent_5,2023-10-26 14:31:45,10:17,Technical Support,Y,No,19,0:09:44,2.6114931305305484
Call_4,Agent_5,2023-11-22 18:51:03,20:07,Feedback,N,Yes,89,0:02:11,2.181161976191773
Call_5,Agent_1,2023-05-08 06:59:17,11:05,Feedback,N,No,6,0:09:35,1.9295372922241913
Call_6,Agent_2,2023-04-14 23:24:20,14:53,General Inquiry,N,No,74,0:01:40,2.1240179956348544
Call_7,Agent_1,2023-08-29 17:33:40,9:10,Billing,Y,No,102,0:03:38,4.213930973187539
Call_8,Agent_1,2023-11-01 19:22:36,11:45,Feedback,N,Yes,16,0:08:37,4.716912214527415
Call_9,Agent_2,2023-03-30 12:54:46,2:50,Sales Inquiry,Y,No,90,0:06:37,2.6204107781102657
Call_10,Agent_1,2023-01-02 19:21:45,11:24,General Inquiry,N,Yes,71,0:02:03,4.624444008529988
Call_11,Agent_5,2023-07-05 09:27:17,10:12,Feedback,Y,Yes,111,0:08:14,2.285982804991528
Call_12,Agent_4,2023-09-15 22:42:13,19:21,Feedback,N,Yes,91,0:09:05,2.9057479453751665
Call_13,Agent_3,2023-10-16 14:40:38,10:43,Feedback,N,No,101,0:06:58,1.9041159912639989
Call_14,Agent_5,2023-07-13 18:02:46,21:21,General Inquiry,Y,Yes,52,0:06:22,3.561904168703376
Call_15,Agent_3,2023-03-19 00:09:00,20:25,Feedback,Y,Yes,9,0:06:07,4.915924460699236
Call_16,Agent_3,2023-10-10 17:36:31,1:20,General Inquiry,Y,Yes,84,0:07:46,3.4139723841735146
Call_17,Agent_4,2023-11-23 08:24:04,3:13,Sales Inquiry,Y,No,72,0:09:37,2.4312563364541955
Call_18,Agent_4,2023-03-18 02:23:14,17:04,Technical Support,N,No,113,0:07:38,3.5912697839621135
Call_19,Agent_2,2023-06-13 06:21:04,15:06,Billing,Y,No,114,0:05:45,1.4916827138615503
Call_20,Agent_5,2023-10-27 15:35:45,10:43,Technical Support,N,Yes,73,0:02:39,4.5546363210615946
Call_21,Agent_2,2023-08-02 03:22:48,11:15,Feedback,N,Yes,104,0:06:04,3.0123358031193455
Call_22,Agent_2,2023-04-11 22:04:49,9:11,Feedback,N,No,10,0:07:47,2.7973989681585683
Call_23,Agent_3,2023-09-16 09:52:02,2:48,Billing,N,No,65,0:03:40,3.3434591538140768
Call_24,Agent_4,2023-02-26 07:13:39,12:50,Sales Inquiry,N,No,20,0:06:40,3.49913545115761
Call_25,Agent_3,2023-12-30 05:32:58,10:08,Billing,N,No,108,0:09:53,1.2871032249060521
Call_26,Agent_5,2023-01-18 12:23:37,12:00,Sales Inquiry,N,Yes,118,0:04:03,3.7304688848936096
Call_27,Agent_3,2023-07-19 00:12:47,3:06,Billing,Y,Yes,51,0:02:33,1.9677267212621183
Call_28,Agent_3,2023-12-14 17:36:32,8:06,Technical Support,Y,Yes,106,0:03:48,3.855810530026359
Call_29,Agent_1,2023-02-08 03:07:26,9:47,Billing,N,No,111,0:01:58,4.290139177536787
Call_30,Agent_4,2023-09-13 12:15:32,20:39,Sales Inquiry,N,Yes,119,0:08:12,4.215834030210081
Call_31,Agent_2,2023-06-23 13:20:11,2:57,General Inquiry,Y,Yes,109,0:06:28,3.2100038696315565
Call_32,Agent_5,2023-07-06 07:52:44,20:35,Billing,N,Yes,40,0:01:43,3.0806795692430047
Call_33,Agent_4,2023-02-24 20:56:54,3:35,Sales Inquiry,Y,Yes,70,0:02:44,1.5715038453576469
Call_34,Agent_2,2023-09-12 09:20:58,2:20,Sales Inquiry,Y,No,59,0:03:54,4.101384601612542
Call_35,Agent_4,2023-06-17 09:44:32,13:29,Technical Support,Y,Yes,39,0:02:52,2.0856375217868575
Call_36,Agent_2,2023-09-17 17:37:40,17:37,Feedback,N,Yes,100,0:04:56,2.986781691271786
Call_37,Agent_3,2023-05-07 19:35:46,2:12,General Inquiry,N,Yes,82,0:09:08,2.137096371710067
Call_38,Agent_1,2023-08-23 01:03:01,6:26,Technical Support,N,No,120,0:08:04,1.5353134519987726
Call_39,Agent_4,2023-11-16 03:00:35,18:35,Feedback,N,No,94,0:06:14,3.5182307875669463
Call_40,Agent_2,2023-08-02 01:51:08,15:47,General Inquiry,Y,Yes,26,0:08:27,1.2173281392916153
Call_41,Agent_5,2023-06-17 21:00:09,2:09,Feedback,N,No,118,0:04:35,3.9945809365048
Call_42,Agent_4,2023-03-08 17:18:26,3:16,Sales Inquiry,Y,Yes,43,0:06:22,2.2703471810444666
Call_43,Agent_1,2023-11-19 16:35:23,16:40,General Inquiry,Y,No,95,0:02:31,1.0005387720179413
Call_44,Agent_3,2023-09-23 13:02:31,9:21,Technical Support,N,Yes,47,0:03:09,3.044516556948919
Call_45,Agent_4,2023-09-01 21:15:17,15:18,Billing,Y,No,86,0:02:57,1.1874076341104125
Call_46,Agent_2,2023-03-24 08:21:30,6:05,Technical Support,N,No,18,0:01:17,2.104678231283598
Call_47,Agent_5,2023-07-03 11:47:40,15:05,Billing,N,Yes,20,0:02:47,3.8279059498228647
Call_48,Agent_1,2023-11-28 08:48:53,13:35,Feedback,N,No,119,0:01:51,1.2507584864874635
Call_49,Agent_3,2023-09-24 09:50:18,16:23,Technical Support,N,Yes,65,0:02:32,4.357353969424009
Call_50,Agent_2,2023-03-18 15:32:43,6:41,Billing,Y,Yes,52,0:06:19,1.0152796906343324
